1#04.02.2023 19:24:17#Кузьмин Антон Антонович#32#167#10.10.1989#Кемерово
2#04.02.2023 19:24:53#Ерёмин Антон Геннадьевич#30#170#09.05.1993#Москва
3#04.02.2023 19:25:47#Эрнестов Эдуард Олегович#28#176#22.03.1996#Екатеринбург
4#29.01.2023 13:54:04#Иванов Иван Иванович#20#180#10.05.2003#Кемерово
5#04.02.2023 19:39:16#Леонидов Игорь Игоревич#33#177#10.10.1990#Кемерово
6#29.01.2023 13:54:49#Гришин Сергей Геннадьевич#33#169#20.09.1989#Ивановка
7#07.02.2023 23:10:02#Кузьмин Антон Сергеевич#24#173#24.04.1999#Новый Урегной
8#08.02.2023 22:16:39#Лоханов Дмитрий Дмитриевич#30#172#27.04.1992#Цаплино
9#08.02.2023 22:21:54#Лухарёв Антон Дмитриевич#35#169#17.01.1987#Тополь
10#08.02.2023 22:24:08#Рудников Роман Петрович#55#169#10.04.1978#Большая Шляпка
11#08.02.2023 22:37:05#Ильшатов Эльдар Гульминнович#30#184#22.07.1993#Шпаловка
12#08.02.2023 22:43:55#Мартынов Сергей Андреевич#27#170#30.01.1994#Омск
13#10.02.2023 9:33:42#Дударев Евгений Петрович#50#170#19.06.1970#Николаев Рог
